Song Title,Artist,Male0 / Female1/Other3,Publish Year,Solo0 / Group1,Main Chord Progression,Romance,Lyrics,Length of Song,Length in Seconds,bpm,danceability
We Are Young,Fun,3,2012,1,"1,6,4,5,1,6,4,5 ",0,"Give me a second I, I need to get my story straight My friends are in the bathroom getting higher than the Empire State My lover she's waiting for me just across the bar My seat's been taken by some sunglasses asking bout a scar, and I know I gave it to you months ago I know you're trying to forget But between the drinks and subtle things The holes in my apologies, you know I'm trying hard to take it back So if by the time the bar closes And you feel like falling down I'll carry you home Tonight We are young So let's set the world on fire We can burn brighter than the sun Tonight We are young So let's set the world on fire We can burn brighter than the sun Now I know that I'm not All that you got I guess that I, I just thought Maybe we could find new ways to fall apart But our friends are back So let's raise a glass 'Cause I found someone to carry me home Tonight We are young So let's set the world on fire We can burn brighter than the sun Tonight We are young So let's set the world on fire We can burn brighter than the sun Carry me home tonight Just carry me home tonight Carry me home tonight Just carry me home tonight The moon is on my side I have no reason to run So will someone come and carry me home tonight The angels never arrived But I can hear the choir So will someone come and carry me home Tonight We are young So let's set the world on fire We can burn brighter than the sun Tonight We are young So let's set the world on fire We can burn brighter than the sun So if by the time the bar closes And you feel like falling down I'll carry you home tonight",4:12,252,,
Save Your Tears,The Weeknd,0,2020,0,"2,6,4,4,1,6,3,5",1,"Ooh Yeah I saw you dancing in a crowded room You look so happy when I'm not with you But then you saw me, caught you by surprise A single teardrop falling from your eye I don't know why I run away I'll make you cry when I run away You could've asked me why I broke your heart You could've told me that you fell apart But you walked past me like I wasn't there And just pretended like you didn't care I don't know why I run away I'll make you cry when I run away Take me back 'cause I wanna stay Save your tears for another Save your tears for another day Save your tears for another day So, I made you think that I would always stay I said some things that I should never say Yeah, I broke your heart like someone did to mine And now you won't love me for a second time I don't know why I run away, ooh, girl Said, I make you cry when I run away Girl, take me back 'cause I wanna stay Save your tears for another I realize that I'm much too late And you deserve someone better Save your tears for another day (oh, yeah) Save your tears for another day (yeah) I don't know why I run away I'll make you cry when I run away Save your tears for another day, ooh, girl (Ah) I said, save your tears for another day (Ah) Save your tears for another day (Ah) Save your tears for another day (Ah)",3:35,215,117.7239685,1.513066888
Blinding Lights,The Weeknd,0,2020,0,"2,6,1,5,2,6,1,5",1,"Yeah I've been tryin' to call I've been on my own for long enough Maybe you can show me how to love, maybe I'm going through withdrawals You don't even have to do too much You can turn me on with just a touch, baby I look around and Sin City's cold and empty (oh) No one's around to judge me (oh) I can't see clearly when you're gone And I said, ooh, I'm blinded by the lights No, I can't sleep until I feel your touch I said, ooh, I'm drowning in the night Oh, when I'm like this, you're the one I trust (Hey, hey, hey) I'm running out of time 'Cause I can see the sun light up the sky So I hit the road in overdrive, baby, oh The city's cold and empty (oh) No one's around to judge me (oh) I can't see clearly when you're gone And I said, ooh, I'm blinded by the lights No, I can't sleep until I feel your touch I said, ooh, I'm drowning in the night Oh, when I'm like this, you're the one I trust I'm just walking by to let you know (by to let you know) I could never say it on the phone (say it on the phone) Will never let you go this time (ooh) I said, ooh, I'm blinded by the lights No, I can't sleep until I feel your touch (Hey, hey, hey) I said, ooh, I'm blinded by the lights No, I can't sleep until I feel your touch",4:22,262,85.51095581,1.261864305
Rain on me,"Lady Gaga, Ariana Grande",1,2020,0,"1,5,6,5,1,6,5,1",0,"I didn't ask for a free ride I only asked you to show me a real good time I never asked for the rainfall At least I showed up, you showed me nothing at all It's coming down on me Water like misery It's coming down on me I'm ready, rain on me I'd rather be dry, but at least I'm alive Rain on me, rain, rain Rain on me, rain, rain I'd rather be dry, but at least I'm alive Rain on me, rain, rain Rain on me Rain on me Mmm, oh yeah, baby Rain on me Living in a world where no one's innocent Oh, but at least we try Gotta live my truth, not keep it bottled in So I don't lose my mind Baby, yea  I can feel it on my skin It's coming down on me Teardrops on my face Water like misery Let it wash away my sins It's coming down on me Let it wash away I'd rather be dry, but at least I'm alive Rain on me, rain, rain Rain on me, rain, rain I'd rather be dry, but at least I'm alive Rain on me, rain, rain Rain on me Rain on me Rain on meOh yeah, yeah Rain on me, ooh yeah Rain on me Rain on me Hands up to the sky I'll be your galaxy, I'm about to fly Rain on me, tsunami Hands up to the sky I'll be your galaxy, I'm about to fly Rain on me I'd rather be dry, but at least I'm alive Rain on me, rain, rain Rain on me, rain, rain I'd rather be dry, but at least I'm alive Rain on me, rain, rain Rain on me I hear the thunder coming down, won't you rain on me? Rain on me I hear the thunder coming down, won't you rain on me? Rain on me",3:08,188,123.0911636,1.185065985
Intentions,Justin Bieber,0,2020,0,"1,1,6,4,6,4,1,1",1,"Picture perfect, you don't need no filter Gorgeous, make 'em drop dead, you're a killer Shower you with all my attention Yeah, these are my only intentions Stay in the kitchen cookin' up, got your own bread Heart full of equity or an asset Make sure that you don't need no mentions Yeah, these are my only intentions Shout out to your mom and dad for makin' you Standin' ovation, they did a great job raisin' you When I create you're my muse That kind of smile that makes the news Can't nobody throw shade on your name in these streets Triple threat, you're a boss, you a bae, you a beast You make it easy to choose You got a mean touch, I can't refuse (No, I can't refuse it) Picture perfect, you don't need no filter Gorgeous, make 'em drop dead, you're a killer Shower you with all my attention Yeah, these are my only intentions Stay in the kitchen cookin' up, got your own bread Heart full of equity or an asset Make sure that you don't need no mentions Yeah, these are my only intentions Already passed, you don't need no approval Good everywhere, don't worry 'bout no refusal Second to none, you got the upper hand now Don't need a sponsor, nope, you're the brand now You're my rock, my Colorado Got that ring, just like Toronto Lovin' you now, a little more tomorrow That's how I feel, act like you know that you are Picture perfect, you don't need no filter Gorgeous, make 'em drop dead, you're a killer Shower you with all my attention Yeah, these are my only intentions Stay in the kitchen cookin' up, got you're own bread (Whip it) Heart full of equity or an asset (Asset) Make sure that you don't need no mentions (Yeah, yeah) Yeah, these are my only intentions (Quavo) No cap, no pretendin' You don't need mentions (No cap) Got 'em sayin' ""goals"", they don't wanna be independent ('Pendent) Tell them to mind your business (Woo), we in our feelings It's fifty-fifty percentage (Fifty) Attention, we need commitment (Oh) We got it both admitted (Both) It's funny we both listen (Both) It's a blessing (Blessing) 'cause we both get it (Both) You the best thing and I don't need a witness (Best thing) I'ma find me a ring and pray it's perfect fitted (Perfect, perfect) Picture perfect, you don't need no filter (No filter) Gorgeous, make 'em drop dead, you a killer (Oh-oh) Shower you with all my attention (I will) Yeah, these are my only intentions (Yeah) Stay in the kitchen cookin' up, got your own bread (You do) Heart full of equity, you're an asset (Uh-uh) Make sure that you don't need no mentions (No mentions) Yeah, these are my only intentions Only intentions That's all I plan to do",3:44,224,147.9904785,1.051465869
Mood,24KGoldn,0,2020,0,"4,6,1,5,4,6,1,5",1,"Why you always in a mood? Fuckin 'round, actin' brand new I ain't tryna tell you what to do But try to play it cool Baby, I ain't playing by your rules Everything look better with a view Why you always in a mood? Fuckin 'round, actin' brand new I ain't tryna tell you what to do But try to play it cool Baby, I ain't playing by your rules Everything look better with a view [Iann dior:] I could never get attached When I start to feel, I unattach Somehow I always end up feeling bad Baby, I am not your dad, it's not all you want from me I just want your company Girl, it's obvious, elephant in the room And we're a part of it, don't act so confused And you love startin' it, now I'm in a mood Now we're arguin' in my bedroom We play games of love to avoid the depression We've been here before And I won't be your victim [24kGoldn:] Why you always in a mood? Fuckin 'round, actin' brand new I ain't tryna tell you what to do But try to play it cool Baby, I ain't playing by your rules Everything look better with a view Why you always in a mood? Fuckin 'round, actin' brand new I ain't tryna tell you what to do But try to play it cool Baby, I ain't playing by your rules Everything look better with a view So why you tryin' to fake your love on the regular When you could be blowin' up just like my cellular I won't ever let a shorty go and set me up Only thing I need to know is if you wet enough I'm talking slick back, kick back, gang sippin' forties You keep playing, not another day with you shorty Mismatched fits, that was way before you know me Got a lot of love, well you better save it for me [Iann dior:] We play games of love to avoid the depression We've been here before And I won't be your victim [24kGoldn:] Why you always in a mood? Fuckin 'round, actin' brand new I ain't tryna tell you what to do But try to play it cool Baby, I ain't playing by your rules Everything look better with a view Why you always in a mood? Fuckin 'round, actin' brand new I ain't tryna tell you what to do But try to play it cool Baby, I ain't playing by your rules Everything look better with a view",2:30,150,90.81459808,1.072853923
WAP,Cardi B,1,2020,0,"1,1,2,1,1,2,1,1",0,"(Whores in this house) (There's some whores in this house(There's some whores in this house) (There's some whores in this house) I said, certified freak Seven days a week Wet a-- p---y Make that pull-out Yeah, yeah, yeah, yeah Yeah, you f---ing with some wet a-- p---y Bring a bucket and a mop for this wet a-- p---y Give me everything you got for this wet a-- p---y Beat it up, n---a, catch a chargeExtra large and extra hard Put this p---y right in your face Swipe your nose like a credit card Hop on top, I wanna ride I do a kegel while it's inside Spit in my mouth, look in my eyes This p---y is wet, come take a dive Tie me up like I'm surprised Let's role play, I wear a disguise I want you to park that big Mack truck Right in this little garage Make it cream, make me scream Out in public, make a sceneI don't cook, I don't clean But let me tell you how I got this ring (ayy, ayy) Gobble me, swallow me, drip down inside of me Quick jump out 'fore you let it get inside of me I tell him where to put it, never tell him where I'm 'bout to be I run down on him 'fore I have a n---a running me.       He bought a phone just for pictures Of this wet a-- p---y Pay my tuition just to kiss me On this wet a-- p---y Now make it rain if you wanna See some wet a-- p---y Look, I need a hard hitter, I need a deep stroker I need a Henny drinker, I need a weed smoker Not a garden snake, I need a king cobra With a hook in it, hope it lean over He got some money, then that's where I'm headed P---y A1, just like his credit He got a beard, well, I'm tryna wet it I let him taste it, now he diabetic I don't wanna spit, I wanna gulp I wanna gag, I wanna choke I want you to touch that little dangly dang That swang in the back of my throat My head game is fire, punani Dasani It's going in dry and it's coming out soggy I ride on that thang like the cops is behind me I spit on his mic and now he tryna sign me, woo Your honor, I'm a freak bi---, handcuffs, leashes Switch my wig, make him feel like he cheating Put him on his knees, give him something to believe in Never lost a fight, but I'm looking for a beating In the food chain, I'm the one that eat ya If he ate my a--, he's a bottom feeder Big D stand for big demeanor I could make you bust before I ever meet ya If it don't hang, then he can't bang You can't hurt my feelings, but I like pain If he f--- me and ask, ""Whose is it?"" When I ride the di--, I'ma spell my name Ah Yeah, yeah,yeah Yeah, you f---ing with some wet a-- p---y Bring a bucket and a mop for this wet a-- p---y Give me everything you got for this wet a-- p---y Now from the top, make it drop That's some wet a-- p---y Now get a bucket and a mop That's some wet a-- p---y I'm talking WAP, WAP, WAP That's some wet a-- p---y Macaroni in a pot That's some wet a-- p---y, uh (There's some whores in this house) (There's some whores in this house)He bought a phone just for pictures Of this wet a-- p---y Pay my tuition just to kiss me On this wet a-- p---y Now make it rain if you wanna See some wet a-- p---y Look, I need a hard hitter, I need a deep stroker I need a Henny drinker, I need a weed smoker Not a garden snake, I need a king cobra With a hook in it, hope it lean over He got some money, then that's where I'm headed P---y A1, just like his credit He got a beard, well, I'm tryna wet it I let him taste it, now he diabetic I don't wanna spit, I wanna gulp I wanna gag, I wanna choke I want you to touch that little dangly dang That swang in the back of my throat My head game is fire, punani Dasani It's going in dry and it's coming out soggy I ride on that thang like the cops is behind me I spit on his mic and now he tryna sign me, woo Your honor, I'm a freak bi---, handcuffs, leashes Switch my wig, make him feel like he cheating Put him on his knees, give him something to believe in Never lost a fight, but I'm looking for a beating In the food chain, I'm the one that eat ya If he ate my a--, he's a bottom feeder Big D stand for big demeanor I could make you bust before I ever meet ya If it don't hang, then he can't bang You can't hurt my feelings, but I like pain If he f--- me and ask, ""Whose is it?"" When I ride the di--, I'ma spell my name Ah Yeah, yeah,yeah Yeah, you f---ing with some wet a-- p---y Bring a bucket and a mop for this wet a-- p---y Give me everything you got for this wet a-- p---y Now from the top, make it drop That's some wet a-- p---y Now get a bucket and a mop That's some wet a-- p---y I'm talking WAP, WAP, WAP That's some wet a-- p---y Macaroni in a pot That's some wet a-- p---y, uh (There's some whores in this house) (There's some whores in this house)Talk your sh--, bite your lip Ask for a car while you ride that di-- (while you ride that di--) You really ain't never gotta f--- him for a thang He already made his mind up 'fore he came Now get your boots and your coat For this wet a-- p---ygame weak, woo",4:12,252,132.8644257,1.191560388
Rockstar,Post Malone,0,2017,0,"6,5,6,5,6,5,6,5",0,"Hahahahaha Thank GodAyy, ayy I've been fuckin' hoes and poppin' pilliesMan, I feel just like a rockstar (ayy, ayy) All my brothers got that gas And they always be smokin' like a Rasta Fuckin' with me, call up on a Uzi And show up, man, them the shottas When my homies pull up on your block They make that thing go grrra-ta-ta-ta (Ta, pow, pow, pow, ayy, ayy) Switch my whip, came back in black I'm startin' sayin': ""Rest in peace to Bon Scott"" (Scott, ayy) Close that door, we blowin' smoke She ask me light a fire like I'm Morrison ('son, ayy) Act a fool on stage Prolly leave my fuckin' show in a cop car (car, ayy) Shit was legendary Threw a TV out the window of the Montage Cocaine on the table, liquor pourin', don't give a damn Dude, your girlfriend is a groupie, she just tryna get in Sayin', I'm with the band (ayy, ayy) Now she actin' outta pocket, tryna grab up on my pants Hundred bitches in my trailer say they ain't got a man And they all brought a friend (yeah, ayy, ayy, ayy) I've been fuckin' hoes and poppin' pillies Man, I feel just like a rockstar (ayy, ayy) All my brothers got that gas And they always be smokin' like a Rasta Fuckin' with me, call up on a Uzi And show up, man, them the shottas When my homies pull up on your block They make that thing go grrra-ta-ta-ta I've been in the Hills fuckin' superstars Feelin' like a popstar (21, 21, 21) Drankin' Henny, bad bitches jumpin' in the pool And they ain't got on no bra (bra) Hit her from the back, pullin' on her tracks And now she screamin' out, ""¡No más!"" (yeah, yeah, yeah) They like, ""Savage, why you got a twelve car garage And you only got six cars?"" (21) I ain't with the cakin', how you kiss that? (kiss that?) Your wifey say I'm lookin' like a whole snack (big snack) Green hundreds in my safe, I got old racks (old racks) L.A. bitches always askin', Where the coke at? (21, 21) Livin' like a rockstar, smash out on a cop car Sweeter than a Pop-Tart, you know you are not hard I done made the hot chart, 'member I used to trap hard Livin' like a rockstar, I'm livin' like a rockstar (ayy) I've been fuckin' hoes and poppin' pillies Man, I feel just like a rockstar (star, ayy, ayy) All my brothers got that gas And they always be smokin' like a Rasta ('sta, yeah, yeah, yeah, yeah) Fuckin' with me, call up on a UziAnd show up, man, them the shottas When my homies pull up on your block They make that thing go grrra-ta-ta-ta (Ta, grrra-ta-ta-ta-ta) Star, star, rockstar, rockstar, star",4:01,241,161.6918945,1.118424296
Holy,Justin Bieber,0,2020,0,"1,5,6,4,1,5,6,4",0,"I hear a lot about sinners Don't think that I'll be a saint But I might go down to the river, uh 'Cause the way that the sky opens up when we touch Yeah, it's makin' me say That the way you hold me, hold me, hold me, hold me, hold me Feels so holy, holy, holy, holy, holy On God Runnin' to the altar like a track star Can't wait another second 'Cause the way you hold me, hold me, hold me, hold me, hold me Feels so holy I don't do well with the dramaAnd no, I can't stand it bein' fake No, no, no, no, no, no-no-no I don't believe in nirvana But the way that we love in the night gave me life Baby, I can't explain That the way you hold me, hold me, hold me, hold me, hold me Feels so holy, holy, holy, holy, holy On God Runnin' to the altar like a track star Can't wait another second 'Cause the way you hold me, hold me, hold me, hold me, hold me Feels so holy They say we're too young and The pimps and the players say, ""Don't go crushin'""Wise men say, ""Fools rush in"" But I don't know (ah-ah, ah, ah) They say we're too young and The pimps and the players say, ""Don't go crushin'"" Wise men say, ""Fools rush in"" But I don't know (Chance the Rapper, ah) The first step pleases the Father Might be the hardest to take But when you come out of the water I'm a believer, my heart is fleshy Life is short with a temper like Joe Pesci They always come and sing your praises, your name is catchy But they don't see you how I see you, Parlay and Desi Cross, Tween, Tween, Hesi' hit the jet speed When they get messy, go lefty, like Lionel Messi Let's take a trip and get the Vespas or rent a jet-ski I know the spots that got the best weed, we goin' next week I wanna honor, wanna honor you Bride's groom, I'm my father's child I know when the son takes the first steps, the Father's proud If you make it to the water He'll part the clouds I know He made you a snack like Oscar Proud Suffer it to be so now gotta clean it up Formalize the union in communion He can trust I know I ain't leavin' you like I know He ain't leavin' us I know we believe in God and I know God believes in us'Cause the way you hold  me, hold me, hold me, hold me, hold me Feels so holy, holy, holy, holy, holy On God Runnin' to the altar like a track star Can't wait another second On God Runnin' to the altar like a track star Can't wait another second On God Runnin' to the altar like a track star Can't wait another second 'Cause the way you hold me, hold me, hold me, hold me Feels so holy",5:28,328,86.79120636,1.164459944
Stupid Love,"Lady Gaga, Ariana Grande",1,2020,0,"1,7,4,1,7,4,1,7",1,"You're the one that I've been waiting for Gotta quit this cryin' Nobody's gonna heal me if I don't open the door Kinda hard to believe, gotta have faith in me Freak out, I freak out, I freak out, I freak out (look at me) I get down, I get down, I get down, I get down (look at me) I freak out, I freak out, I freak out, I freak out Look at me now 'Cause all I ever wanted was love Hey-ya, hey-ya (ooh) Hey-ya, hey-ya (ooh) Hey-ya, hey-ya All I ever wanted was love Hey-ya, hey-ya (ooh) Hey-ya, hey-ya (ooh) Oh, yeah, oh yeah I want your stupid love, love I want your stupid love, love (Oh, oh-oh, oh-oh, oh) (Oh, oh, oh, oh-oh-oh-oh) Now it's time to free me from the shame I gotta find that peace Is it too late or could this love protect me from the pain? I would battle for you, even if I break in two Freak out, I freak out, I freak out, I freak out (look at me) I get down, I get down, I get down, I get down (look at me) I freak out, I freak out, I freak out, I freak out Look at me now 'Cause all I ever wanted was love Hey-ya, hey-ya (ooh) Hey-ya, hey-ya (ooh) Hey-ya, hey-ya All I ever wanted was love Hey-ya, hey-ya (ooh) Hey-ya, hey-ya (ooh) Oh, yeah, oh yeah I want your stupid love, love I want your stupid love, love (Oh, oh-oh, oh-oh, oh) (Oh, oh, oh, oh-oh-oh-oh) I don't need a reason (oh) Not sorry, I want your stupid love I don't need a reason (oh) Not sorry, I want your stupid love Ah, yeah, ah yeah I want your stupid love, love (whoa, oh, oh, woo) We got a stupid love, love (Love, love, oh, oh-oh, oh) (Oh, oh, oh, oh-oh-oh-oh) I want your stupid love, love (Oh, oh-oh, oh-oh, oh) (Oh, oh, oh-oh-oh-oh-oh) I want your stupid love, love",3:37,217,117.7034988,1.544280648
