Song Title,Artist,Male0 / Female1/Other3,Publish Year,Length of Song,Length in Seconds,Solo0 / Group1,Main Chord Progression,Romance,Lyrics,Translated Lyrics ,bpm,danceability
我很快乐,周兴哲,0,2020,5:11,311,0,"1,5,6,3,4,5,3,6",0,雷雨依舊 奔跑著 世界像你 模糊停格 總以為能 永遠愛著 時間 卻幫我們上了一課 路 無法倒退 我 錯過機會 我說著 我很快樂 我無所謂 你最懂我的 為你付出 我不後悔 只要你過得好 我不一定 需要擁有 你說要自由 我沒理由 不讓你走 說真的 我很快樂 為你流淚 你找到你的 幸福快樂 就不浪費 要犯過多少錯 終於懂得 愛是什麼 遺憾有多好 愛過的人忘不掉 越努力愛 一個人 越想割捨 越捨不得 總以為能 失而復得 你卻 有更好的未來等著 我 一定成全 我 微笑告別 說真的 我很快樂 為你流淚 你找到你的 幸福快樂 就不浪費 要犯過多少錯 終於懂得 愛是什麼 遺憾有多好 愛過的人忘不掉 我說著 我很快樂 我無所謂 你最懂我的 為你付出 我不後悔 只要你過得好 我不一定 需要擁有 你說要自由 我沒理由 不讓你走 說真的 我很快樂 為你流淚 你找到你的 幸福快樂 就不浪費 多幸運能遇到 最懷念的 你的擁抱 遺憾有多好 愛過的人忘不掉,Rain still run the world like you always think stop-motion blur can always love the time they help us a lesson way back I could not miss the opportunity I said I'm happy I do not care you know me pay for you as long as I do not regret how are you doing I do not necessarily need to be free to have your say I have no reason not let you go I'm really happy for you to cry you find your happiness will not waste much wrong to be committed finally know what love is how sorry well loved forget harder to love a person they want to break away from the more reluctant you always think that there can be regained better future waiting for me to accomplish my smile must say goodbye to me really happy tears you find your happiness for you happy not waste much wrong to be committed finally know what love is regrettable how well loved the people forget I said I'm happy I do not care you know me I pay for you as long as you do not regret not getting my you need to have a certain freedom to say I have no reason not let you go I'm really happy tears you find your happiness as you do not waste lucky to have met the most memorable of your embrace regret how well loved people forget,74.40203094,1.065184236
过,林俊杰，王嘉尔,0,2020,3:29,209,0,"1,7,4,1,6,3,2,5",0,回不去 的路口 oh oh 像過敏 紮了根 oh oh 我想起 某個人 oh oh 在我心中 被淡化的人 oh 我也有 某個人逗留 oh oh 是無法 根治的疼痛 oh oh 我以為 只能這樣了 oh oh 但回憶發作 思念難以負荷 愛情自帶寂寞 yeah 愛情各種錯過 oh oh 卻在多年以後 還想回頭 Should've let go mmm 不見天日的傷口 殘留的快樂 是無底漩渦 快把我淹沒 Should've let go hey 沒有如果的結果 我來不及說的話 在永遠裏沈沒 Without you I fall apart Ooh I fall apart Woah I fall apart 付出過所以我念舊 oh oh 在遺憾裏沒有對錯 oh oh 怎麼我心還有點痛 oh oh 在這壹刻 我想起某個人 不得不習慣來去匆匆 不得不隱藏心事重重 當世界越來越多不得不做的選擇 能放手才能再次擁有 Should've let go mmm 不見天日的傷口 殘留的快樂 是無底漩渦 早已經把我淹沒 Should've let go hey 沒有如果的結果 我來不及說的話 在永遠裏沈沒 Without you I fall apart Mmm I fall apart Fall apart Fall apart Mmm I fall apart Fall apart Fall apart,Go back through the intersection like oh oh oh oh Minzha root reminds me of someone in my heart oh oh man oh to be desalinated I have someone stay oh oh is no cure for the pain I thought oh oh oh oh this is it but memories of love that comes with the onset of thoughts is difficult to load a variety of lonely love miss oh oh yeah but want to look back years later the wound remained happy Should've let go mmm not see the light of a bottomless whirlpool I'm drowning Should've let go hey no ifs results before I could say the sinking Without you in eternity I fall apart Ooh I fall apart Woah I fall apart paid off so I forget the past oh oh no right or wrong in the sorrow oh oh how my heart a little pain oh oh in one moment I think that someone had come and gone habits have to hide when selecting preoccupied the world had to do more and more able to let go in order to have Should've let go mmm not see the light of residual wounds happy again is bottomless whirlpool already drown me Should've let go hey if not the result of too late to say I sank Without you I fall apart Mmm I fall apart Fall apart Fall apart Mmm I fall apart Fall apart Fall apart in eternity,128.0996704,1.161730528
因为你所以我,五月天,0,2020,4:44,284,1,"1,1,6,6,4,4,5,1",1,人群 煙火 香檳和氣球 是你 帶我 從派對逃走 逃離 人間 耳語和騷動 這裏 只有 你我和星空 你是 何時 靜靜靠近我 你是 何時 偷偷拯救我 在我 掌心 放了 一顆糖果 人類 為何 都愛看天空 背上 卻都 有一對傷口 生在 這個 凡人的星球 是否 不配 作天使的夢 你將 你的 翅膀給了我 帶我 穿越 狼群和鏡頭 讓我 能夠 品嘗 片刻自由 因為你 所以我 愛上那 片天空 天空下 我在祈求 那是你 牽著我 最深刻 的故事 最永恆 的傳說 不過 是你 是我 能夠 平凡生活 人生 只是 須臾的剎那 人間 只是 天地的夾縫 人們 何苦 要活成修羅 活在 執著 對錯的牢籠 是你 幫我 停下了沙漏 是你 教我 別害怕闖禍 是你 讓我 活得 与众不同 因為你 所以我 愛上那 片天空 天空下 我在祈求 那是你 牽著我 最深刻 的故事 最永恆 的傳說 不過 是你 是我 能夠 平凡生活 因為你 所以我 所以我 不退縮 再不願 這一生中 有遺憾 不反駁 不再聽 別人說 不在乎 誰能懂 只因 世界 再大 不過 你和我 用最小回憶 堆成宇宙 因為你 所以我 愛上那 片天空 天空下 我在祈求 那是你 牽著我 最深刻 的故事 最永恆 的傳說 不過 是你 是我 能夠 平凡生活 因為你 所以我 所以我 不退縮 再不願 這一生中 有遺憾 不反駁 不再聽 別人說 不在乎 誰能懂 只因 世界 再大 不過 你和我 用最小回憶 堆成宇宙,"Crowd fireworks champagne and balloons are you taking me from the party fled to escape the world whispering and commotion There's only you and me and the stars you are when you are close to me quietly secretly saved when I put in my palm candy why humans like to watch the sky back but has a mortal wound born in this planet if not worthy of the angels dream you gave me your wings take me through the wolves and the lens allowed me to enjoy the moment because you free so I fell in love with that piece of sky sky I pray that in the next you take my most profound story of the most timeless legend but you are my life just a moment ordinary life can at the moment only the world caught between heaven and earth why people want to live to live in a persistent Shura prison is right or wrong you help me to stop the hourglass you taught me not to be afraid trouble is you let me live so I'm different because you fell in love with the next patch of sky in the sky I pray that you take my most profound story of the most timeless legend but you are my ordinary life because you can so I do not back down again so I do not want to have regrets in this life does not refute no longer listen to others who do not care to understand because the world is bigger, but you and I recall with the smallest pile Yu so I fell in love with the universe because you are under the area of ​​the sky in the sky I pray that you take my most profound story of the most timeless legend but you are my ordinary life because you can so I do not back down again so I do not want this life Unfortunately, there is no rebuttal is no longer listen to others who do not care to understand because the world is bigger, but you and I piled the universe with minimal memory",,
很久以后,邓紫棋,1,2020,4:46,286,0,"1,6,4,5,1,6,4,5",0,也許是不甘心 也許是可惜 也許無法相信 突然身邊再也不是你 能給的都已經給你 能做的都用盡全力 也許遇見你是種幸運 分開卻是天意 不是不能面對 又不是十八歲 愛過你的年歲 心裡至少真的不後悔 也許會不捨會落淚 但得不到也許才珍貴 也許再等等就有人會 比我們匹配 很久很久很久以後 當我抱著別個他的時候 是否我就能夠 對你笑著揮手 好久不見的朋友 換個角色 對你問候 誰還記得我們 曾多奮不顧身 失去你的人生 我像一棵樹被拔了根 如果只能依賴自己 我只能逼自己更獨立 雨再大過了總會天晴 不過時間而已 很久很久很久以後 當我抱著別個他的時候 也許我就能夠 對你笑著揮手 也許會釋然分手 是個出口 很久很久很久以後 當你牽著別個她的時候 我們這個傷口 也許不再難受 好久不見的朋友 祝福你們 直到永久 只是怕可能 以後愛別人 無法像愛你那麼深 但愛到了盡頭 哭有什麼用 也只能接受 愛情裡一切莫須有 很久很久很久以後 時間會把回憶慢慢偷走 此刻承受的痛 會慢慢變得虛構 不過就換了一雙 執子之手 很久很久很久以後 你我都各有所愛的時候 我們這個傷口 再也不會難受 好久不見的朋友 如果再見 微笑點頭,"Maybe not willing to believe maybe but maybe not suddenly no longer around to give you all you have to do is have tried my best to be kind of lucky you might meet separately but it is not an act of God can not face'm not eighteen years old love over your heart age really do not regret it at least might be tears of sadness but maybe just not to wait precious perhaps someone will match than us for a long long, long time when I hugged him when another one if I you smiled and waved able to change the role of the long-lost friend who greet you remember when we were desperate to lose more than your life I am like a tree root was pulled myself if I can only rely on themselves more independent force rain again always had a great time just fine, but a long long, long time when I hugged him when maybe other months I was able to smile and waved you might be relieved of her break up is not a time to exit a long long, long time when you're holding us the wound may no longer uncomfortable long-lost friends forever bless you until they feared could not love anyone else like love but love you so deep into the end what's the use of crying only after receiving love, everything will be trumped a long long long time the memories slowly stole the pain of the moment will gradually become fiction but long on for a long, long time one pair of hands hold your future you and I have something to love when our wounds will never uncomfortable long time no see If you smile and nod goodbye friend",145.1845398,1.059653521
莲,张艺兴,0,2020,5:17,317,0,"1,3,6,3,4,3,6,2",0,Look at me good You make an answer Look at me good You know what I'm saying 想打倒我 What do you want from me They got all eyes on me 莲花 站立在下一个 Level 准备好拥有我 Title 肮脏都视而不见 出淤泥不染的莲 路我还在走 从不曾回头 就去到下一个 Level Now we go Take take take No one beat me down Take take take Play another round Take take take 就打我不倒 Take take take 我走我的道 I am the 莲 Lit Lit Lit I am Lit Lit 太多人分不清对错 信仰缺失才会困惑 谎话太多都被骗过 传言都当作真相来传播 一路险阻到了现 在 陈词滥调你的念白 不要再来异想天开 King从来都不会倦怠 I am the king 在音乐王国 亲吻我的 Ring 这就属于我 戴上我的 Crown I got the power You know it I got the power You know it I got it whoa 太多人想把我绊倒 绊不倒 太多人在指手画脚 No no no no 太多人都在那排队等 就是出淤泥不染 你看好 You wanna fight and we having a fight Time will decide but you know I survive Music my arena Feeling the vibe Taking China to the World You should know I am the 莲 Lit Lit Lit Lit I am the 莲 I am Lit,"Look at me good You make an answer Look at me good You know what I'm saying I want to defeat What do you want from me They got all eyes on me standing next Level Lotus has me ready to turn a blind eye out of dirty mud Title lotus Road, unstained I was never to go back to go to the next Level Now we go take take take no one beat me down take take take Play another round take take take I do not hit me go down take take take my missing too much confusion lies only road I am the lotus Lit Lit Lit I am Lit Lit too many people can not tell right from wrong beliefs have cheated rumors have spread all the way to the truth as obstacles to the now cliche you read white do not come back whimsical King never tired I am the king kissed my Ring which belongs to me put on my Crown I got the power You know it I got the power You know the music kingdom it I got it whoa too many people want me stumble trip does not fall too many people find fault with no no no no too many people are waiting in a queue that is the mud do not dye your optimistic you wanna fight and we having a fight Time will decide but you know I survive Music my arena Feeling the vibe Taking China to the World You should know I am the lotus Lit Lit Lit Lit I am the lotus I am Lit",109.9270706,1.125244498
好想爱这个世界啊,华晨宇,0,2019,4:18,258,0,"4,5,6,4,5,6,4,5",0,抱着沙发 睡眼昏花 凌乱头发 却渴望像电影主角一样潇洒 屋檐角下 排着乌鸦 密密麻麻 被压抑的情绪不知如何表达 无论我 在这里 在那里 仿佛失魂的虫鸣 却明白此刻应该做些努力 无论我 在这里 在那里 不能弥补的过去 每当想起 想过离开 以这种方式存在 是因为 那些旁白 那些姿态 那些伤害 不想离开 当你说还有你在 忽然我开始莫名 期待 夕阳西下 翻着电话 无人拨打 是习惯孤独的我该得到的吧 独木桥呀 把谁推下 才算赢家 我无声的反抗何时能战胜它 无论我 在这里 在那里 仿佛失魂的虫鸣 却明白此刻应该做些努力 无论我 在这里 在那里 不能弥补的过去 每当想起 喔~ 想过离开 以这种方式存在 是因为 那些旁白 那些姿态 那些伤害 不想离开 也许尝试过被爱 会开始仰望未来 伤疤 就丢给回忆吧 放下 才得到更好啊 别怕 别怕 想过离开 当阳光败给阴霾 没想到你会拼命为我拨开 曾想过离开 却又坚持到现在 熬过了 那些旁白 那些姿态 那些伤害 不想离开 当你的笑容绽开 这世界突然填满 色彩 喔~ 抱着沙发 睡眼昏花 凌乱头发 夕阳西下 接通电话 是你呀,"Sofa holding sleepy eyes dim messy hair was long like a movie hero as the crow dense row of chic repressed emotions corner under the eaves do not know how to express whether I'm here to there as if Lost Souls insects but understand at the moment whether I should be trying to do in here's where it can not make up for the past whenever I think there is thought about leaving this way it is because those aside those who pose harm not want to leave when you say you're still inexplicable sudden I started looking forward to the sunset turned the phone call no one is I get lonely habit of it single-plank bridge it to be considered a winner who pushed me silent revolt when it can beat it no matter where I am here as if Lost Souls insects but understand at the moment whether I should be trying to do here in there can not make up for the past whenever I think about oh thought about leaving exist in this way it is because those aside those who pose harm not want to leave perhaps tried to be loved scars will begin to look to the future memories threw it down before they get better ah do not Do not be afraid afraid of losing haze thought about leaving when the sun did not think you would be hard for me to poke had thought about leaving but stick to the present narrator who survived those who pose harm not want to leave when you smile, the world suddenly filled with blooming color oh sofa holding sleepy eyes dim messy hair and the sun sets it's you turn on the phone",162.0032043,0.9613984227
消愁,毛不易,0,2018,4:21,261,0,"1,5,6,5,4,1,2,5",0,當你走進這歡樂場 背上所有的夢與想 各色的臉上各色的妝 沒人記得你的模樣 三巡酒過你在角落 固執的唱著苦澀的歌 聽它在喧囂裡被淹沒 你拿起酒杯對自己說 一杯敬朝陽 一杯敬月光 喚醒我的嚮往 溫柔了寒窗 於是可以不回頭地逆風飛翔 不怕心頭有雨 眼底有霜 一杯敬故鄉 一杯敬遠方 守著我的善良 催著我成長 所以南北的路從此不再漫長 靈魂不再無處安放 躁動不安的座上客 自以為是地表演著 偽裝著 舞蹈著 疲憊著 你拿起酒杯對自己說 一杯敬朝陽 一杯敬月光 喚醒我的嚮往 溫柔了寒窗 於是可以不回頭地逆風飛翔 不怕心頭有雨 眼底有霜 一杯敬故鄉 一杯敬遠方 守著我的善良 催著我成長 所以南北的路從此不再漫長 靈魂不再無處安放 一杯敬明天 一杯敬過往 支撐我的身體 厚重了肩膀 雖然從不相信所謂山高水長 人生苦短何必念念不忘 一杯敬自由 一杯敬死亡 寬恕我的平凡 驅散了迷惘 好吧天亮之後總是潦草離場 清醒的人最荒唐 清醒的人最荒唐,"When you walk into this field back all the joy of dreams and want colored colored face makeup nobody remembers you look like you had three drinks wine in corner stubborn to listen to the song it sings bitter submerged in the hustle and bustle you get a glass of wine from the King said to myself a cup of Chaoyang respect moonlight wake up my gentle longing to read it slowly so you can not go back to my heart is not afraid to fly upwind rain fundus cream cup cup Jing Jing home guarding my goodness distance drives me grow so north and south the road is no longer a long restless soul no longer nowhere to place the guest of honor to show the self-righteous dancing disguise tired of you say to yourself Naqijiubei cup cup Jing Jing, Chaoyang moonlight gentle wake my longing to read it slowly so you can not go back to upwind afraid of flying heart rain fundus cream cup cup Jing Jing home guarding my goodness distance drives me grow so long north-south road is no longer the soul is no longer nowhere to place a glass cup King King tomorrow to support my body past the thick Although never believed in the so-called shoulder after high mountains never forget that life is short so why free cup cup Jing Jing death forgive my ordinary dispelled confusion Well dawn always scribbled leave sober man most ridiculous sober man most ridiculous",111.9168777,1.008071065
年少有為,李荣浩,0,2018,4:58,298,0,"1,3,6,4,1,3,6,5",0,電視一直閃 聯絡方式都還沒刪 你待我的好 我卻錯手毀掉 也曾一起想 有個地方睡覺吃飯 可怎麼去熬日夜顛倒連頭款也湊不到 牆板 被我砸爛 到現在還沒修 一碗熱的粥 你怕我沒夠 都留一半帶走 給你形容 美好今後你常常眼睛會紅 原來心疼我 我那時候不懂 假如我年少有為不自卑 懂得什麼是珍貴 那些美夢 沒給你 我一生有愧 假如我年少有為 知進退 才不會讓你替我受罪 婚禮上 多喝幾杯 和你現在那位 假如我年少有為不自卑 嘗過後悔的滋味 金錢地位 搏到了卻好想退回 假如我年少有為 知進退 才不會讓你替我受罪 婚禮上 多喝幾杯 和你現在那位 在婚禮上 多喝幾杯 祝我年少有為,TV has been flashing the contact details have not deleted your good to me I was wrong hands together to destroy also want to have a place to sleep can eat how to boil a topsy-turvy with his head shall also take care not to smash my wall is now no repair a bowl of hot porridge you afraid I did not have enough left to take away half describe you better in the future you will be red eyes often feel bad I had that time I do not know if I'm young and promising not to feel inferior know what the dream did not give you those precious guilty of my life if I was young and promising act properly it will not let you suffer for me and now you drink a few glasses of money who fight position young and promising not to feel inferior if I tasted the taste of regret to the wedding but really want to return If I were young and promising act properly it will not let you suffer for me drink a few glasses and you now wish me who drink a few glasses at the wedding young and promising wedding,132.2666168,1.118775129
太空,吴青峰,0,2019,4:29,269,0,"1,7,6,1,7,4,5,1",0,航行太空 心太空 是你在怂恿 我又一次 又一次 在深夜发疯 有人挥手 有行踪 是你在舞动 我又一次 又一次 溺在洪水中 我的窗口 潮汐随风翻涌 你的举动 都是水中黑洞 现实的梦 你总不痒不痛 不见我困窘 我失重漂流 航行太空 心太空 是你在怂恿 我又一次 又一次 在深夜发疯 有人挥手 有行踪 是你在舞动 我又一次 又一次 溺在洪水中 我的窗口 潮汐随风翻涌 你的举动 都是水中黑洞 现实的梦 你总不痒不痛 爱不是拥有 就是被吞没 航行太空 心太空 是你在怂恿 我又一次 又一次 在深夜发疯 有人挥手 有行踪 是你在舞动 我又一次 又一次 溺在洪水中,Space voyage Space heart is that you encouraged me again and again in the middle of the night was crazy waved whereabouts have you dancing in me again and again drowning in the flood crest of my window tidal wind your moves are black holes in water realistic dream you do not always see me itch does not hurt me embarrassed rafting voyage in space weightlessness of space is your heart again and again in the middle of the night I was crazy waved whereabouts have you dancing in me again and again at the instigation of drowning in the flood tide with my window wind crest of your moves are black holes in water realistic dream you always do not itch does not have the pain of love is to be swallowed up in space voyage in the heart of the space you encouraged me again and again in the middle of the night was crazy waved whereabouts have you dancing I again and again drowning in the flood,88.01169586,1.134312034
大鱼,周深,0,2019,5:17,317,0,"1,2,3,1,2,3,1,2",0,海浪无声将夜幕深深淹没 漫过天空尽头的角落 大鱼在梦境的缝隙里游过 凝望你 沉睡的 轮廓 看海天一色 听风起雨落 执子手 吹散苍茫茫烟波 大鱼的翅膀 已经太辽阔 我松开 时间的绳索 怕你飞远去 怕你离我而去 更怕你永远停留在这里 每一滴泪水 都向你流淌去 倒流进天空的海底 海浪无声将夜幕深深淹没 漫过天空尽头的角落 大鱼在梦境的缝隙里游过 凝望你沉睡的轮廓 看海天一色 听风起雨落 执子手吹散苍茫茫烟波 大鱼的翅膀 已经太辽阔 我松开时间的绳索 看你飞远去 看你离我而去 原来你生来就属于天际 每一滴泪水 都向你流淌去 倒流回最初的相遇,Silent waves swept over the night sky at the end of deeply submerged in the corner staring at fish swim across your sleeping profile see sky and sea wings and hear the wind blew away the rain falls hold your hand Cang vast Yanbo big fish in the gap dreams already too vast I let go of the ropes time you fly away in fear afraid you will silence swept over the night sky at the end of deeply submerged in the corner away from me more afraid you'll stay here every tear you have to go back flowing into the sky undersea waves staring at the big fish swim across your sleeping profile see sky and sea hear the wind from blowing away the rain falls hold your hand Cang vast Yanbo fish wings in the gap dreams already too vast time I let go of the rope to see you see you fly away So you away from me born to belong to the sky every tear you have to go back flowing back to the original encounter,136.6522522,0.8554894328
